efta_number,entity_type,entity_value,corpus_hit_count,registry_match,phone_csv_match,dataset,llm_classification,llm_sensitivity
EFTA02728999,account,000-000-,34990,,0,11,FINANCIAL_RECORD,MEDIUM
EFTA00311364,account,2003,25121,,0,9,NAME_REMOVAL,MEDIUM
EFTA01284180,account,10-21,9105,,0,10,NAME_REMOVAL,MEDIUM
EFTA00283449,account,1996,6914,,0,9,NAME_REMOVAL,MEDIUM
EFTA01284803,account,03-05,5148,,0,10,FINANCIAL_RECORD,HIGH
EFTA01288374,account,04-23,4704,,0,10,NAME_REMOVAL,MEDIUM
EFTA00186431,account,5-01,4431,,0,9,NAME_REMOVAL,MEDIUM
EFTA01286686,account,03-23,2818,,0,10,NAME_REMOVAL,MEDIUM
EFTA01580122,account,5100,2465,,0,10,NAME_REMOVAL,MEDIUM
EFTA01309619,account,0043811863,1201,,0,10,NAME_REMOVAL,MEDIUM
EFTA01309657,account,0043811863,1201,,0,10,NAME_REMOVAL,MEDIUM
EFTA01310083,account,0043811863,1201,,0,10,NAME_REMOVAL,MEDIUM
EFTA01310283,account,0043811863,1201,,0,10,NAME_REMOVAL,MEDIUM
EFTA01310960,account,0043811863,1201,,0,10,NAME_REMOVAL,MEDIUM
EFTA01311028,account,0043811863,1201,,0,10,NAME_REMOVAL,MEDIUM
EFTA00201533,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201613,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201627,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201639,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201649,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203827,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203839,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203855,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203867,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203879,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203891,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203905,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203919,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203931,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203945,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203959,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203975,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203989,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA00204005,account,0043811863,1201,,0,9,NAME_REMOVAL,MEDIUM
EFTA01403036,account,35266976,896,,0,10,NAME_REMOVAL,HIGH
EFTA01403562,account,35266976,896,,0,10,NAME_REMOVAL,MEDIUM
EFTA01404103,account,35266976,896,,0,10,NAME_REMOVAL,MEDIUM
EFTA01474273,account,35266976,896,,0,10,NAME_REMOVAL,MEDIUM
EFTA01474278,account,35266976,896,,0,10,PHONE_REMOVAL,MEDIUM
EFTA01482291,account,000000739110438,855,,0,10,NAME_REMOVAL,MEDIUM
EFTA01483479,account,000000739110438,855,,0,10,FINANCIAL_RECORD,HIGH
EFTA00204035,account,55922769,591,,0,9,FINANCIAL_RECORD,HIGH
EFTA01286686,account,680519,456,,0,10,NAME_REMOVAL,MEDIUM
EFTA01287092,account,680519,456,,0,10,NAME_REMOVAL,MEDIUM
EFTA00201707,account,0031035751,341,,0,9,NAME_REMOVAL,MEDIUM
