efta,justice_gov_url,dataset,pages,scan_content_length,scan_last_modified,sample_verified,first_page_preview
EFTA00000630,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000630.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00000630
EFTA00000637,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000637.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00000637
EFTA00000638,https://www.justice.gov/epstein/files/DataSet%201/EFTA00000638.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00000638
EFTA00001347,https://www.justice.gov/epstein/files/DataSet%201/EFTA00001347.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"BEA( 'PC EAMII  I RI n11.1' %%%A  ro,,  No% csIttim. 21, 2Q14  ES ar  .F.MAG NE  EFTA00001347"
EFTA00001586,https://www.justice.gov/epstein/files/DataSet%201/EFTA00001586.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"L',  I.  EFTA00001586"
EFTA00001932,https://www.justice.gov/epstein/files/DataSet%201/EFTA00001932.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"ear c.ff-reA;  l lel  I. hope  had a 1VO111/4:',.L i 1 ..Lt r1.01/- dail season.  seni Me Zi was beauliful 111(: -  you vent rtuca. Christmas wen{ 'well will'  &Mil 711 zi, Arizona will' our da,N.  pe"
EFTA00001948,https://www.justice.gov/epstein/files/DataSet%201/EFTA00001948.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00001948
EFTA00002048,https://www.justice.gov/epstein/files/DataSet%201/EFTA00002048.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,I  I  EFTA00002048
EFTA00002049,https://www.justice.gov/epstein/files/DataSet%201/EFTA00002049.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,:S  EFTA00002049
EFTA00002173,https://www.justice.gov/epstein/files/DataSet%201/EFTA00002173.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Jun...raw  est) r  IS IN  NUT Arlon %Nor  r7."" . WA  :f t .  '  ••••  ekamo,  TOo!taa_  s, suss  IIPIO4P4J4moudmil  =tee=  PS Me  cmg...4t.•  !.o l io: Fa  '  .  t. ±,  Dtca.ennty  Aro TS. P 4v1/4.44,"
EFTA00002503,https://www.justice.gov/epstein/files/DataSet%201/EFTA00002503.pdf,1,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00002503
EFTA00003380,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003380.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003380
EFTA00003434,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003434.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003434
EFTA00003435,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003435.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003435
EFTA00003436,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003436.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003436
EFTA00003437,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003437.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003437
EFTA00003438,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003438.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003438
EFTA00003439,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003439.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003439
EFTA00003440,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003440.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003440
EFTA00003441,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003441.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003441
EFTA00003855,https://www.justice.gov/epstein/files/DataSet%202/EFTA00003855.pdf,2,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00003855
EFTA00004105,https://www.justice.gov/epstein/files/DataSet%203/EFTA00004105.pdf,3,52,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"05- (02_,/- 4' 0-0  EFTA00004105"
EFTA00004477,https://www.justice.gov/epstein/files/DataSet%203/EFTA00004477.pdf,3,100,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"THAIS,MOSCOW GIRLS  AFRICA  IIIIIII  MI  ZORR 0  MIN MI IIIIII  CRACK WHOLE PROPOSAL  3ALI/THAILAND (ASIA  RUSSIA  ME  MINUDES  YOGA GIRLS  BOOK  12  EFTA00004477"
EFTA00004577,https://www.justice.gov/epstein/files/DataSet%203/EFTA00004577.pdf,3,86,20,"Tue, 02 Sep 2025 17:24:21 GMT",,r11 h ri5  100-0021_1 MG .JPG  100-0075_IMG.JPG  102-0232_IMG.JPG  102-0248_IMG.J PG  102-0265_IMG.JPG  1 photographer:  100-0074_IMG.JPG  103-0321_IMG.JPG  EFTA00004577
EFTA00004800,https://www.justice.gov/epstein/files/DataSet%203/EFTA00004800.pdf,3,98,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00004800
EFTA00005386,https://www.justice.gov/epstein/files/DataSet%203/EFTA00005386.pdf,3,100,20,"Tue, 02 Sep 2025 17:24:21 GMT",,CIMG0284.JPG  CIMG0301.JPG  •  CIM60308.JPG  CIMG0305.JPG  1  CIMG0306.JPG  CIMG0302.JPG  CIMG0295.JPG  CIMG0294.JPG  CIMG0299.JPG  CIMG0291.JPG  CIMG0307.JPG  CIMG0287.JPG  CIMG0286.JPG  CIMG0298.JPG
EFTA00007157,https://www.justice.gov/epstein/files/DataSet%204/EFTA00007157.pdf,4,96,20,"Tue, 02 Sep 2025 17:24:21 GMT",,Date: 7/25/06  Time: 8:47:53  PALM BEACH -POLICE DEPARTMENT  •  Incident Report  Page:  NI  11 1I  Program: CS3 C:  1L  Case No   1-05-000368  SPECIAL NOTES : DO NOT RELEASE  Occur From Date: 1/27/05
EFTA00008483,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008483.pdf,5,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"tiole alOsody  ED-5041(Rev.  Case File  Poen  ELSUR Erudesx PAWN. Rorie Ender  831.20171  Hz  9  ID n:  m a Co mew=  o ism=.  cn  omem,  smut Total  e of Discs  /  Case Agent/Task  Evidence  Enclosure"
EFTA00008486,https://www.justice.gov/epstein/files/DataSet%205/EFTA00008486.pdf,5,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,Oalady-ELSUR  idence Envelope  pA (Itev.1-17-00  i'C  : .   I R   Original     .   0   Magnetic Tape  Case  I Da:   Case Agt.:  Tape/Disk':  Agt SUpetviSing Title III Intercepts:   O Duplicate  O Comp
EFTA00008529,https://www.justice.gov/epstein/files/DataSet%206/EFTA00008529.pdf,6,56,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  UNITED STATES GRAND JURY  SOUTHERN DISTRICT OF NEW YORK    -x  UNITED STATES OF AMERICA  -V-  : August 23, 2018"
EFTA00009897,https://www.justice.gov/epstein/files/DataSet%208/EFTA00009897.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To: Nathan NYSD Chambers <I  Cc:  Subject: RE: United States v. Ghislaine Maxwell, 20 Cr. 330 (MN)  Date: Wed, 21 Apr 2021 20:19:31 +0000  Four attorneys will be appearing for the Government"
EFTA00011430,https://www.justice.gov/epstein/files/DataSet%208/EFTA00011430.pdf,8,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: "" Il "" alMIE>  To: '' I 'l =la  Cc:  "" alMIIM>,  . USANYS ""  , ""Echenbe , Janis(USANYS ""  , .  (USANYS)  ,  [Contractor]""  Subject: RE: Names for tomorrow  Date: Sat, 25 Sep 2021 15:04:59 +0000"
EFTA00013397,https://www.justice.gov/epstein/files/DataSet%208/EFTA00013397.pdf,8,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,
EFTA00016403,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016403.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To: '  r<1  Subject: RE: Follow Up on July 23 Incident Sensitive Disclosure Materials  Date: Tue, 17 Dec 2019 14:16:54 +0000  Ok, sounds good. We have 10:30 sonogram tomorrow so I'll meet you"
EFTA00016904,https://www.justice.gov/epstein/files/DataSet%208/EFTA00016904.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From:  To: ' Subject: RE: Follow Up on July 23 Incident Sensitive Disclosure Materials  Date: Tue, 17 Dec 2019 14:17:29 +0000  Sounds good!  From:  Sent: Tuesday, December 17, 2019 9:17 AM  To:  Subje"
EFTA00017935,https://www.justice.gov/epstein/files/DataSet%208/EFTA00017935.pdf,8,4,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From:  (USANYS)""   To:  (USANYS)""  Subject: FW: CORRECTIONAL OFFICERS CHARGED WITH FALSIFYING RECORDS ON  AUGUST 9TH AND 10TH AT THE METROPOLITAN CORRECTIONAL CENTER  Date: The, 19 Nov 2019 16:21:10 +"
EFTA00019645,https://www.justice.gov/epstein/files/DataSet%208/EFTA00019645.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To: Nathan NYSD Chambers  Cc: '' (USANYS)""  Subject: RE: US v. Maxwell, 20 Cr. 330 (AJN) - ex parte sealed letter  Date: Wed, 16 Sep 2020 21:48:56 +0000  Attachments: 2020-09- I 6_Govemment_e"
EFTA00023503,https://www.justice.gov/epstein/files/DataSet%208/EFTA00023503.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '    „tl  To: ' SS)""  <I  Cc: '  "" <  >,  (USANYS)""  Subject: Fwd: US v. Maxwell, 20 Cr. 330 (AJN) - ex pane sealed letter  Date: Thu, 17 Sep 2020 15:08:28 +0000  Attachments: 20cr330_SEALED_Mem"
EFTA00024018,https://www.justice.gov/epstein/files/DataSet%208/EFTA00024018.pdf,8,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,PROTECTED MATERIALS  ATTORNEY'S EYES ONLY  G'  Anonymous Identifier _  Attorney In Cooperator  Employee 1  Sam Gregory  Employee 2  Employee 3  Howard Schwartz  Employee 4  Matthew Meyers  Employee 5
EFTA00029810,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029810.pdf,8,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From:  To:  Cc:  Subject: RE: Epstein  Date: Mon, 29 Jun 2020 22:49:54 +0000  Sony, I've been jammed. If you want, I can probably look at something after this Thursday.  From:  (USANYS)< >  Sent: Mond"
