efta,justice_gov_url,dataset,original_size,scan_size,diff_bytes,diff_pct,content_type,ocr_text
EFTA00134151,https://www.justice.gov/epstein/files/DataSet%209/EFTA00134151.pdf,9,22578693,7423415,-15155278,-67.12,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00134151&efta_number=EFTA00134151
EFTA00048963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00048963.pdf,9,158912996,144679655,-14233341,-8.96,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00048963&efta_number=EFTA00048963
EFTA01629170,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01629170.pdf,10,16299530,9171371,-7128159,-43.73,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01629170&efta_number=EFTA01629170
EFTA01309040,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01309040.pdf,10,14881249,7782046,-7099203,-47.71,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01309040&efta_number=EFTA01309040
EFTA00181380,https://www.justice.gov/epstein/files/DataSet%209/EFTA00181380.pdf,9,13966266,8470589,-5495677,-39.35,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00181380&efta_number=EFTA00181380
EFTA01709855,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01709855.pdf,10,17942054,13625214,-4316840,-24.06,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01709855&efta_number=EFTA01709855
EFTA01627670,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01627670.pdf,10,20551831,17157323,-3394508,-16.52,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01627670&efta_number=EFTA01627670
EFTA01309004,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01309004.pdf,10,7502486,4325197,-3177289,-42.35,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01309004&efta_number=EFTA01309004
EFTA00047963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00047963.pdf,9,121625195,119361631,-2263564,-1.86,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00047963&efta_number=EFTA00047963
EFTA00181769,https://www.justice.gov/epstein/files/DataSet%209/EFTA00181769.pdf,9,6064571,3979917,-2084654,-34.37,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA00181769&efta_number=EFTA00181769
EFTA01645970,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01645970.pdf,10,26671145,24623103,-2048042,-7.68,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01645970&efta_number=EFTA01645970
EFTA01305903,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01305903.pdf,10,36665846,34776699,-1889147,-5.15,application/pdf,https://epstein-data.com/full_text_corpus/pages?_search=EFTA01305903&efta_number=EFTA01305903
