efta,dataset,url,verify_status,verify_content_type,verify_content_length,verdict,original_cl,original_lm
EFTA00652908,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00652908.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00246712,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00246712.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01171786,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01171786.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01166445,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01166445.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01157022,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01157022.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00787241,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00787241.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00555988,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00555988.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00543466,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00543466.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01231998,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01231998.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00274402,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00274402.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00274142,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00274142.pdf,404,text/html,20,REMOVED,464,
EFTA00548368,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00548368.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01156319,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01156319.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01159877,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01159877.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01792160,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01792160.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00247035,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00247035.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01149033,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01149033.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01231683,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01231683.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01156584,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01156584.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01235574,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01235574.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01172414,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01172414.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00172958,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00172958.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01133711,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01133711.pdf,404,text/html,20,REMOVED,464,
EFTA01232088,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01232088.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01189041,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01189041.pdf,404,text/html,20,REMOVED,464,
EFTA01172372,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01172372.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01132197,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01132197.pdf,200,application/pdf,15058,LIVE,464,
EFTA01155531,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01155531.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01187318,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01187318.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00555808,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00555808.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00547827,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00547827.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01215981,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01215981.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00549785,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00549785.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01198467,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01198467.pdf,404,text/html,20,REMOVED,464,
EFTA01190307,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01190307.pdf,200,application/pdf,29528,LIVE,464,
EFTA01169987,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01169987.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00275932,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00275932.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01236913,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01236913.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00758514,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00758514.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01215799,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01215799.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00520631,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00520631.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01174760,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01174760.pdf,404,text/html,20,REMOVED,464,
EFTA01199640,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01199640.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01147745,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01147745.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00519419,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00519419.pdf,404,text/html,20,REMOVED,9431,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00276243,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00276243.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01158922,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01158922.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01174224,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01174224.pdf,404,text/html,20,REMOVED,464,
EFTA00524064,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00524064.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01159968,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01159968.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA00555266,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00555266.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
EFTA01216007,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA01216007.pdf,404,text/html,20,REMOVED,20,"Tue, 02 Sep 2025 17:24:21 GMT"
