source_doc,page,row_index,serial_or_id,date,description,attorney,produced_to_defense,notes
EFTA00095751,0,1,3501.000-001,2021.08.11,Voicemail from unknown caller,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,2,3501.000-002,,Records of 911 calls,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,3,3501.000-003,2006.02.17,Palm Beach Police Department incident report,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,4,3501.000-004,2006.07.25,Palm Beach Police Department incident report,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,5,3501.000-005,2006.09.01,Palm Beach Police Department incident report,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,6,3501.000-006,2007.09.13,Palm Beach Police Department incident report,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,7,3501.000-007,2007.02.23,Letter from Gerald Lefcourt to [redacted] with draft transcript excerpts,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,8,3501.000-008,,INTENTIONAL GAP,,,visual_only_manual_p00
EFTA00095751,0,9,3501.000-009,,Palm Beach Police Department property receipt,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,10,3501.000-010,,Hotline notes,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,11,3501.000-011,,Hotline notes,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,12,3501.000-012,,Hotline notes,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,13,3501.000-013,,Hotline notes,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,14,3501.000-014,2020.08.03,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,15,3501.000-015,2020.08.06,FBI intake report [redacted],,2021.10.11,visual_only_manual_p00
EFTA00095751,0,16,3501.000-016,2020.08.10,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,17,3501.000-017,2020.08.11,FBI intake report [redacted],,2021.10.11,visual_only_manual_p00
EFTA00095751,0,18,3501.000-018,2019.07.08,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,19,3501.000-019,2019.07.08,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,20,3501.000-020,2019.07.08,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,21,3501.000-021,2019.07.08,FBI intake report [redacted],,2021.10.11,visual_only_manual_p00
EFTA00095751,0,22,3501.000-022,2019.07.08,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,23,3501.000-023,2019.07.09,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,24,3501.000-024,2019.07.09,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,25,3501.000-025,2019.07.09,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,26,3501.000-026,2019.07.09,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,27,3501.000-027,2019.07.10,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,28,3501.000-028,2019.07.10,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,29,3501.000-029,2019.07.10,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,30,3501.000-030,2019.07.09,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,31,3501.000-031,2019.07.10,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,32,3501.000-032,2019.07.10,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,33,3501.000-033,2019.07.12,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,34,3501.000-034,2019.07.11,FBI intake report (email tip),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,35,3501.000-035,,Attachment to FBI intake report 3501.000-034,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,36,3501.000-036,,Attachment to FBI intake report 3501.000-034,,2021.10.11,visual_only_manual_p00
EFTA00095751,0,37,3501.000-037,2019.07.12,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,38,3501.000-038,2019.07.13,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,39,3501.000-039,2019.07.11,FBI intake report (anonymous),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,40,3501.000-040,2019.07.14,FBI intake report (email tip),,2021.10.11,visual_only_manual_p00
EFTA00095751,0,41,3501.000-041,2019.07.17,FBI intake report (Twitter post),,2021.10.11,visual_only_manual_p00
